No.,Symbol,Market Cap,Company Name,Exchange,Sector
98,CVS,99612367098,CVS Health Corporation,NYSE,Healthcare
99,SO,98194888307,The Southern Company,NYSE,Utilities
100,SOMN,54955901000,The Southern Company,NYSE,
101,MO,97948007687,"Altria Group, Inc.",NYSE,Consumer Staples
102,GSK,96680994325,GSK plc,NYSE,Healthcare
103,DUK,94820233042,Duke Energy Corporation,NYSE,Utilities
104,NEM,94143257371,Newmont Corporation,NYSE,Materials
105,NKE,94131357304,"NIKE, Inc.",NYSE,Consumer Discretionary
106,TT,92868729655,Trane Technologies plc,NYSE,Industrials
107,GD,91993620731,General Dynamics Corporation,NYSE,Industrials
108,MMM,91127326972,3M Company,NYSE,Industrials
109,BP,91484072785,BP p.l.c.,NYSE,Energy
110,MMC,89554273936,"Marsh & McLennan Companies, Inc.",NYSE,Financials
111,ICE,89363536620,"Intercontinental Exchange, Inc.",NYSE,Financials
112,BMO,89882574872,Bank of Montreal,NYSE,Financials
113,WM,87111942438,"Waste Management, Inc.",NYSE,Industrials
114,MCO,87312116378,Moody's Corporation,NYSE,Financials
115,SNOW,83296455414,Snowflake Inc.,NYSE,Technology
116,SHW,85131606314,The Sherwin-Williams Company,NYSE,Materials
117,DELL,84663892296,Dell Technologies Inc.,NYSE,Technology
118,BNS,84355421826,The Bank of Nova Scotia,NYSE,Financials
119,AMT,84154036950,American Tower Corporation,NYSE,Real Estate
120,MFG,86089960279,"Mizuho Financial Group, Inc.",NYSE,Financials
121,AEM,83298203383,Agnico Eagle Mines Limited,NYSE,Materials
122,BAM,82737838432,Brookfield Asset Management Ltd.,NYSE,Financials
123,HWM,81981200000,Howmet Aerospace Inc.,NYSE,Industrials
124,NOC,81268589275,Northrop Grumman Corporation,NYSE,Industrials
125,SE,80686398440,Sea Limited,NYSE,Consumer Discretionary
126,NU,80099462751,Nu Holdings Ltd.,NYSE,Financials
127,UPS,80205796512,"United Parcel Service, Inc.",NYSE,Industrials
128,PBR,81327909697,Petróleo Brasileiro S.A. - Petrobras,NYSE,Energy
129,PBR.A,80803840000,Petróleo Brasileiro S.A. - Petrobras,NYSE,Energy
130,CM,78948176863,Canadian Imperial Bank of Commerce,NYSE,Financials
131,CRH,77934132873,CRH plc,NYSE,Materials
132,ECL,77518710619,Ecolab Inc.,NYSE,Materials
133,CVNA,76147874339,Carvana Co.,NYSE,Consumer Discretionary
134,TDG,76173865270,TransDigm Group Incorporated,NYSE,Industrials
135,BK,76101816522,The Bank of New York Mellon Corporation,NYSE,Financials
136,USB,76027370217,U.S. Bancorp,NYSE,Financials
137,APO,75814563982,"Apollo Global Management, Inc.",NYSE,Financials
138,PNC,75525796078,"The PNC Financial Services Group, Inc.",NYSE,Financials
139,AON,75877942969,Aon plc,NYSE,Financials
140,ITUB,79660962815,Itaú Unibanco Holding S.A.,NYSE,Financials
141,ELV,74732228834,"Elevance Health, Inc.",NYSE,Healthcare
142,BCS,77257261769,Barclays PLC,NYSE,Financials
143,ING,77983684758,ING Groep N.V.,NYSE,Financials
144,CI,74314402011,The Cigna Group,NYSE,Healthcare
145,EMR,73547889346,Emerson Electric Co.,NYSE,Industrials
146,NGG,73500253560,National Grid plc,NYSE,Utilities
147,RELX,74070173885,RELX PLC,NYSE,Industrials
148,COR,72655735905,"Cencora, Inc.",NYSE,Healthcare
149,RCL,72653462871,Royal Caribbean Cruises Ltd.,NYSE,Consumer Discretionary
150,WMB,72503764134,"The Williams Companies, Inc.",NYSE,Energy
151,ITW,72705109203,Illinois Tool Works Inc.,NYSE,Industrials
152,INFY,71630955867,Infosys Limited,NYSE,Technology
153,GLW,71118044848,Corning Incorporated,NYSE,Technology
154,EPD,70438074507,Enterprise Products Partners L.P.,NYSE,Energy
155,LYG,72514314923,Lloyds Banking Group plc,NYSE,Financials
156,JCI,75025293218,Johnson Controls International plc,NYSE,Industrials
157,SPG,60437921168,"Simon Property Group, Inc.",NYSE,Real Estate
158,AMX,69613791204,"América Móvil, S.A.B. de C.V.",NYSE,Communication Services
159,NET,69174669640,"Cloudflare, Inc.",NYSE,Technology
160,CNQ,69242476680,Canadian Natural Resources Limited,NYSE,Energy
161,RACE,68768061868,Ferrari N.V.,NYSE,Consumer Discretionary
162,CMI,68140870439,Cummins Inc.,NYSE,Industrials
163,GM,67894521176,General Motors Company,NYSE,Consumer Discretionary
164,RSG,67904147054,"Republic Services, Inc.",NYSE,Industrials
165,PWR,66797463870,"Quanta Services, Inc.",NYSE,Industrials
166,HLT,66181264815,Hilton Worldwide Holdings Inc.,NYSE,Consumer Discretionary
167,B,67355398487,Barrick Mining Corporation,NYSE,Materials
168,DB,66953074283,Deutsche Bank Aktiengesellschaft,NYSE,Financials
169,AZO,66284151178,"AutoZone, Inc.",NYSE,Consumer Discretionary
170,TRV,66368761166,"The Travelers Companies, Inc.",NYSE,Financials
171,TEL,65386501816,TE Connectivity plc,NYSE,Technology
172,NSC,64861195510,Norfolk Southern Corporation,NYSE,Industrials
173,VRT,64830934526,Vertiv Holdings Co,NYSE,Industrials
174,FDX,64621122104,FedEx Corporation,NYSE,Industrials
175,CP,66179782249,Canadian Pacific Kansas City Limited,NYSE,Industrials
176,CL,64345585947,Colgate-Palmolive Company,NYSE,Consumer Staples
177,AJG,64262883200,Arthur J. Gallagher & Co.,NYSE,Financials
178,RBLX,61817262958,Roblox Corporation,NYSE,Communication Services
179,NWG,32259103723,NatWest Group plc,NYSE,Financials
180,MSI,61543737311,"Motorola Solutions, Inc.",NYSE,Technology
181,SRE,60353460247,Sempra,NYSE,Utilities
182,MFC,59496882496,Manulife Financial Corporation,NYSE,Financials
183,TFC,60179785079,Truist Financial Corporation,NYSE,Financials
184,KMI,58934928903,"Kinder Morgan, Inc.",NYSE,Energy
185,FCX,58973672206,Freeport-McMoRan Inc.,NYSE,Materials
186,AFL,60391898764,Aflac Incorporated,NYSE,Financials
187,VST,57884946712,Vistra Corp.,NYSE,Utilities
188,APD,57635228700,"Air Products and Chemicals, Inc.",NYSE,Materials
189,EOG,57798139347,"EOG Resources, Inc.",NYSE,Energy
190,MPC,57114471010,Marathon Petroleum Corporation,NYSE,Energy
191,CNI,58053351970,Canadian National Railway Company,NYSE,Industrials
192,ZTS,56360255138,Zoetis Inc.,NYSE,Healthcare
193,EQNR,57086221123,Equinor ASA,NYSE,Energy
194,BDX,56032803915,"Becton, Dickinson and Company",NYSE,Healthcare
195,ET,55858772400,Energy Transfer LP,NYSE,Energy
196,TRP,55801906682,TC Energy Corporation,NYSE,Energy
197,ALL,56235220624,The Allstate Corporation,NYSE,Financials
198,RKT,55520118857,"Rocket Companies, Inc.",NYSE,Financials
199,DLR,54056487359,"Digital Realty Trust, Inc.",NYSE,Real Estate
200,E,55883539899,Eni S.p.A.,NYSE,Energy
201,MPLX,54476278556,MPLX LP,NYSE,Energy
202,PSX,54043811838,Phillips 66,NYSE,Energy
203,SLB,53631858497,SLB N.V.,NYSE,Energy
204,SU,53228126901,Suncor Energy Inc.,NYSE,Energy
205,VLO,54362755642,Valero Energy Corporation,NYSE,Energy
206,D,52549823067,"Dominion Energy, Inc.",NYSE,Utilities
207,F,51542724273,Ford Motor Company,NYSE,Consumer Discretionary
208,O,52177054991,Realty Income Corporation,NYSE,Real Estate
209,VALE,52036429919,Vale S.A.,NYSE,Materials
210,LHX,51697499802,"L3Harris Technologies, Inc.",NYSE,Industrials
211,URI,52643462490,"United Rentals, Inc.",NYSE,Industrials
212,DEO,50656380299,Diageo plc,NYSE,Consumer Staples
213,CAH,50781742956,"Cardinal Health, Inc.",NYSE,Healthcare
214,CPNG,50701628427,"Coupang, Inc.",NYSE,Consumer Discretionary
215,EW,50976102280,Edwards Lifesciences Corporation,NYSE,Healthcare
216,ARES,33150217674,Ares Management Corporation,NYSE,Financials
217,MET,49905008745,"MetLife, Inc.",NYSE,Financials
218,FERG,48647264104,Ferguson Enterprises Inc.,NYSE,Industrials
219,PSA,47783842603,Public Storage,NYSE,Real Estate
220,CBRE,48272560043,"CBRE Group, Inc.",NYSE,Real Estate
221,WPM,46535240465,Wheaton Precious Metals Corp.,NYSE,Materials
222,LVS,45727643811,Las Vegas Sands Corp.,NYSE,Consumer Discretionary
223,CARR,45437217685,Carrier Global Corporation,NYSE,Industrials
224,AME,45527222303,"AMETEK, Inc.",NYSE,Industrials
225,WCN,45517407971,"Waste Connections, Inc.",NYSE,Industrials
226,DHI,45132186330,"D.R. Horton, Inc.",NYSE,Consumer Discretionary
227,TAK,45717957860,Takeda Pharmaceutical Company Limited,NYSE,Healthcare
228,GWW,44781463144,"W.W. Grainger, Inc.",NYSE,Industrials
229,CTVA,44632098600,"Corteva, Inc.",NYSE,Materials
230,OKE,44611613926,"ONEOK, Inc.",NYSE,Energy
231,A,44566265710,"Agilent Technologies, Inc.",NYSE,Healthcare
232,CMG,45055981499,"Chipotle Mexican Grill, Inc.",NYSE,Consumer Discretionary
233,LNG,45556671895,"Cheniere Energy, Inc.",NYSE,Energy
234,HLN,44492836388,Haleon plc,NYSE,Healthcare
235,ROK,43936756200,"Rockwell Automation, Inc.",NYSE,Industrials
236,KR,43836163724,The Kroger Co.,NYSE,Consumer Staples
237,HEI,43697248295,HEICO Corporation,NYSE,Industrials
238,ETR,42543901244,Entergy Corporation,NYSE,Utilities
239,FICO,43872561040,Fair Isaac Corporation,NYSE,Technology
240,YUM,42755047720,"Yum! Brands, Inc.",NYSE,Consumer Discretionary
241,AU,42589837161,AngloGold Ashanti plc,NYSE,Materials
242,MSCI,43562247022,MSCI Inc.,NYSE,Financials
243,AMP,42069708957,"Ameriprise Financial, Inc.",NYSE,Financials
244,RDDT,41401141137,"Reddit, Inc.",NYSE,Communication Services
245,PEG,41010490668,Public Service Enterprise Group Incorporated,NYSE,Utilities
246,OXY,40797564072,Occidental Petroleum Corporation,NYSE,Energy
247,AIG,40473599811,"American International Group, Inc.",NYSE,Financials
248,DAL,40581636031,"Delta Air Lines, Inc.",NYSE,Industrials
249,ABEV,39280459068,Ambev S.A.,NYSE,Consumer Staples
250,IQV,39494493799,IQVIA Holdings Inc.,NYSE,Healthcare
251,VEEV,39443426107,Veeva Systems Inc.,NYSE,Healthcare
252,TGT,39341878234,Target Corporation,NYSE,Consumer Staples
253,CCI,38931823494,Crown Castle Inc.,NYSE,Real Estate
254,XYZ,38701298877,"Block, Inc.",NYSE,Technology
255,FNV,38697207773,Franco-Nevada Corporation,NYSE,Materials
256,VMC,38677358512,Vulcan Materials Company,NYSE,Materials
257,ALC,39396770604,Alcon Inc.,NYSE,Healthcare
258,HMC,15033137835,"Honda Motor Co., Ltd.",NYSE,Consumer Discretionary
259,HIG,38333920670,"The Hartford Insurance Group, Inc.",NYSE,Financials
260,HEI.A,36627714048,HEICO Corporation,NYSE,Industrials
261,CCJ,38032815251,Cameco Corporation,NYSE,Energy
262,PRU,38288178758,"Prudential Financial, Inc.",NYSE,Financials
263,HSY,37869785197,The Hershey Company,NYSE,Consumer Staples
264,CLS,37703252533,Celestica Inc.,NYSE,Technology
265,VTR,35146358618,"Ventas, Inc.",NYSE,Real Estate
266,RMD,37486909078,ResMed Inc.,NYSE,Healthcare
267,MLM,37265592874,"Martin Marietta Materials, Inc.",NYSE,Materials
268,GRMN,37119658108,Garmin Ltd.,NYSE,Technology
269,TRGP,36727588175,Targa Resources Corp.,NYSE,Energy
270,TKO,15277734530,"TKO Group Holdings, Inc.",NYSE,Communication Services
271,SYY,36803352918,Sysco Corporation,NYSE,Consumer Staples
272,WEC,35567751048,"WEC Energy Group, Inc.",NYSE,Utilities
273,GFI,36436427040,Gold Fields Limited,NYSE,Materials
274,NUE,35760066563,Nucor Corporation,NYSE,Materials
275,ED,35678484851,"Consolidated Edison, Inc.",NYSE,Utilities
276,PUK,36868831648,Prudential plc,NYSE,Financials
277,EQT,35422042920,EQT Corporation,NYSE,Energy
278,WAB,35230856891,Westinghouse Air Brake Technologies Corporation,NYSE,Industrials
279,PCG,34573130985,PG&E Corporation,NYSE,Utilities
280,UI,34532155005,Ubiquiti Inc.,NYSE,Technology
281,BBD,37476265525,Banco Bradesco S.A.,NYSE,Financials
282,BBDO,32606468310,Banco Bradesco S.A.,NYSE,Financials
283,OTIS,34929795879,Otis Worldwide Corporation,NYSE,Industrials
284,XYL,34453307105,Xylem Inc.,NYSE,Industrials
285,FLUT,34434573280,Flutter Entertainment plc,NYSE,Consumer Discretionary
286,FIS,33996902657,"Fidelity National Information Services, Inc.",NYSE,Technology
287,NOK,32597315755,Nokia Oyj,NYSE,Technology
288,CCL,33635917136,Carnival Corporation & plc,NYSE,Consumer Discretionary
289,FIX,33756667028,"Comfort Systems USA, Inc.",NYSE,Industrials
290,CUK,30980492546,Carnival Corporation & plc,NYSE,Consumer Discretionary
291,KEYS,33591022430,"Keysight Technologies, Inc.",NYSE,Technology
292,LEN,33428052666,Lennar Corporation,NYSE,Consumer Discretionary
293,SLF,33333612606,Sun Life Financial Inc.,NYSE,Financials
294,LEN.B,29375817728,Lennar Corporation,NYSE,Consumer Discretionary
295,EL,33144471226,The Estée Lauder Companies Inc.,NYSE,Consumer Staples
296,CVE,31593706453,Cenovus Energy Inc.,NYSE,Energy
297,QSR,23612303402,Restaurant Brands International Inc.,NYSE,Consumer Discretionary
298,KVUE,32637571157,Kenvue Inc.,NYSE,Consumer Staples
299,STT,32425382088,State Street Corporation,NYSE,Financials
300,CHT,32395096793,"Chunghwa Telecom Co., Ltd.",NYSE,Communication Services
301,MT,32134934674,ArcelorMittal S.A.,NYSE,Materials
302,KGC,31962233544,Kinross Gold Corporation,NYSE,Materials
303,IR,31395471987,Ingersoll Rand Inc.,NYSE,Industrials
304,NRG,31392451424,"NRG Energy, Inc.",NYSE,Utilities
305,WDS,30799237121,Woodside Energy Group Ltd,NYSE,Energy
306,MTD,30765646739,Mettler-Toledo International Inc.,NYSE,Healthcare
307,VICI,30728326916,VICI Properties Inc.,NYSE,Real Estate
308,RJF,30614374000,"Raymond James Financial, Inc.",NYSE,Financials
309,FMX,19348235060,"Fomento Económico Mexicano, S.A.B. de C.V.",NYSE,Consumer Staples
310,STLA,30447151086,Stellantis N.V.,NYSE,Consumer Discretionary
311,VIK,30106608790,Viking Holdings Ltd,NYSE,Consumer Discretionary
312,LYV,30084998558,"Live Nation Entertainment, Inc.",NYSE,Communication Services
313,KB,30442494430,KB Financial Group Inc.,NYSE,Financials
314,IX,30282355134,ORIX Corporation,NYSE,Financials
315,WRB,29611249878,W. R. Berkley Corporation,NYSE,Financials
316,ROL,29661443913,"Rollins, Inc.",NYSE,Consumer Discretionary
317,ASX,30714180914,"ASE Technology Holding Co., Ltd.",NYSE,Technology
318,MTB,29444079824,M&T Bank Corporation,NYSE,Financials
319,EXR,28095212165,Extra Space Storage Inc.,NYSE,Real Estate
320,TME,28237590313,Tencent Music Entertainment Group,NYSE,Communication Services
321,K,29048895195,Kellanova,NYSE,Consumer Staples
322,WIT,28261830274,Wipro Limited,NYSE,Technology
323,ADM,28688522829,Archer-Daniels-Midland Company,NYSE,Consumer Staples
324,TEVA,28659531600,Teva Pharmaceutical Industries Limited,NYSE,Healthcare
325,HUM,28610557416,Humana Inc.,NYSE,Healthcare
326,AEE,28380326587,Ameren Corporation,NYSE,Utilities
327,DTE,28259427443,DTE Energy Company,NYSE,Utilities
328,HPE,28168015021,Hewlett Packard Enterprise Company,NYSE,Technology
329,ATO,28017357096,Atmos Energy Corporation,NYSE,Utilities
330,CIEN,27737057498,Ciena Corporation,NYSE,Technology
331,SYF,29016157749,Synchrony Financial,NYSE,Financials
332,BRO,27487787803,"Brown & Brown, Inc.",NYSE,Financials
333,NTR,27778193254,Nutrien Ltd.,NYSE,Materials
334,PSTG,27197680842,"Pure Storage, Inc.",NYSE,Technology
335,EME,27110654897,"EMCOR Group, Inc.",NYSE,Industrials
336,FE,27104067841,FirstEnergy Corp.,NYSE,Utilities
337,PPL,26928738239,PPL Corporation,NYSE,Utilities
338,BR,26730230072,"Broadridge Financial Solutions, Inc.",NYSE,Technology
339,PHG,26484766125,Koninklijke Philips N.V.,NYSE,Healthcare
340,EFX,26602293771,Equifax Inc.,NYSE,Industrials
341,STE,26343885435,STERIS plc,NYSE,Healthcare
342,AXIA,26094171147,Centrais Elétricas Brasileiras S.A. - Eletrobrás,NYSE,Utilities
343,MKL,26185310228,Markel Group Inc.,NYSE,Financials
344,FTS,26229714276,Fortis Inc.,NYSE,Utilities
345,SHG,26347229440,"Shinhan Financial Group Co., Ltd.",NYSE,Financials
346,VLTO,25787794993,Veralto Corporation,NYSE,Industrials
347,CQP,25770961649,"Cheniere Energy Partners, L.P.",NYSE,Energy
348,CNP,25729538639,"CenterPoint Energy, Inc.",NYSE,Utilities
349,AVB,25814149681,"AvalonBay Communities, Inc.",NYSE,Real Estate
350,DOV,25512506089,Dover Corporation,NYSE,Industrials
351,AWK,25442161640,"American Water Works Company, Inc.",NYSE,Utilities
352,IRM,25320195799,Iron Mountain Incorporated,NYSE,Real Estate
353,GIS,25808489322,"General Mills, Inc.",NYSE,Consumer Staples
354,ES,24305181929,Eversource Energy,NYSE,Utilities
355,WAT,24559717830,Waters Corporation,NYSE,Healthcare
356,PHM,24503405142,"PulteGroup, Inc.",NYSE,Consumer Discretionary
357,LDOS,24484265438,"Leidos Holdings, Inc.",NYSE,Technology
358,TEF,24029410602,"Telefónica, S.A.",NYSE,Communication Services
359,EQR,23247005453,Equity Residential,NYSE,Real Estate
360,COHR,23129534761,Coherent Corp.,NYSE,Technology
361,TDY,23369856991,Teledyne Technologies Incorporated,NYSE,Technology
362,CFG,23273910122,"Citizens Financial Group, Inc.",NYSE,Financials
363,BSBR,46469986091,Banco Santander (Brasil) S.A.,NYSE,Financials
364,STZ,23155620339,"Constellation Brands, Inc.",NYSE,Consumer Staples
365,DG,22959259781,Dollar General Corporation,NYSE,Consumer Staples
366,HUBB,22842677305,Hubbell Incorporated,NYSE,Industrials
367,CMS,22336367173,CMS Energy Corporation,NYSE,Utilities
368,HPQ,22731949016,HP Inc.,NYSE,Technology
369,OWL,22588432142,Blue Owl Capital Inc.,NYSE,Financials
370,KEP,22918114800,Korea Electric Power Corporation,NYSE,Utilities
371,EIX,22510042776,Edison International,NYSE,Utilities
372,DVN,22906756284,Devon Energy Corporation,NYSE,Energy
373,LH,22368907000,Labcorp Holdings Inc.,NYSE,Healthcare
374,PPG,22348615848,"PPG Industries, Inc.",NYSE,Materials
375,L,22308900258,Loews Corporation,NYSE,Financials
376,BE,21839735027,Bloom Energy Corporation,NYSE,Industrials
377,RF,22921565609,Regions Financial Corporation,NYSE,Financials
378,RL,22103731616,Ralph Lauren Corporation,NYSE,Consumer Discretionary
379,PBA,22092843960,Pembina Pipeline Corporation,NYSE,Energy
380,TPR,22701333204,"Tapestry, Inc.",NYSE,Consumer Discretionary
381,NMR,21634189735,"Nomura Holdings, Inc.",NYSE,Financials
382,AER,23400051577,AerCap Holdings N.V.,NYSE,Industrials
383,JBL,21792680001,Jabil Inc.,NYSE,Technology
384,TLK,21971999642,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,NYSE,Communication Services
385,HAL,22118919059,Halliburton Company,NYSE,Energy
386,WSM,21981865402,"Williams-Sonoma, Inc.",NYSE,Consumer Discretionary
387,IOT,21176171633,Samsara Inc.,NYSE,Technology
388,BCE,21272085990,BCE Inc.,NYSE,Communication Services
389,DGX,21495050756,Quest Diagnostics Incorporated,NYSE,Healthcare
390,NVR,21163350773,"NVR, Inc.",NYSE,Consumer Discretionary
391,DRI,20984820632,"Darden Restaurants, Inc.",NYSE,Consumer Discretionary
392,RCI,20772408215,Rogers Communications Inc.,NYSE,Communication Services
393,VIV,20672020470,Telefônica Brasil S.A.,NYSE,Communication Services
394,IP,20662139344,International Paper Company,NYSE,Consumer Discretionary
395,TECK,20301574022,Teck Resources Limited,NYSE,Materials
396,XPEV,20539159729,XPeng Inc.,NYSE,Consumer Discretionary
397,NI,20296779413,NiSource Inc.,NYSE,Utilities
398,CW,20909588142,Curtiss-Wright Corporation,NYSE,Industrials
399,TS,21258690324,Tenaris S.A.,NYSE,Energy
400,CPAY,20520585648,"Corpay, Inc.",NYSE,Technology
401,BEKE,20300752848,KE Holdings Inc.,NYSE,Real Estate
402,AS,20297314924,"Amer Sports, Inc.",NYSE,Consumer Discretionary
403,TYL,20252721292,"Tyler Technologies, Inc.",NYSE,Technology
404,CHD,20568574646,"Church & Dwight Co., Inc.",NYSE,Consumer Staples
405,WST,20204587826,"West Pharmaceutical Services, Inc.",NYSE,Healthcare
406,TSN,20398953373,"Tyson Foods, Inc.",NYSE,Consumer Staples
407,KEY,20077201530,KeyCorp,NYSE,Financials
408,TU,19708501594,TELUS Corporation,NYSE,Communication Services
409,IHG,21049126220,InterContinental Hotels Group PLC,NYSE,Consumer Discretionary
410,BAP,19979503623,Credicorp Ltd.,NYSE,Financials
411,STM,20041692967,STMicroelectronics N.V.,NYSE,Technology
412,EC,19777130151,Ecopetrol S.A.,NYSE,Energy
413,TPL,19865689094,Texas Pacific Land Corporation,NYSE,Energy
414,EXPD,20232731429,"Expeditors International of Washington, Inc.",NYSE,Industrials
415,CTRA,19673995944,Coterra Energy Inc.,NYSE,Energy
416,AMCR,19644143098,Amcor plc,NYSE,Consumer Discretionary
417,TOST,19557890372,"Toast, Inc.",NYSE,Technology
418,CNC,19493571121,Centene Corporation,NYSE,Healthcare
